figure_type,figure_no,title_name,variable,flip_sign,variable_rename,ref_type,ref_value,regions,models,years,scenarios,type,position,x,y,facet1,facet2,show_net,color,page_filter,scales
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Coal,0,Coal,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Gas,0,Gas,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Oil,0,Oil,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Electricity,0,Electricity,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Hydrogen,0,Hydrogen,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Biogas,0,Biogas,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Biomass Liquids,0,Biomass Liquids,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Biomass Solids,0,Biomass Solids,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Synthetic Gas,0,Synthetic Gas,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,14,Final Energy  - Difference from 2020,Final Energy|Synthetic Liquids,0,Synthetic Liquids,year,2020,usa,model_wm,fives_proj,scen_wm,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
diffbarplot,15,Final Energy  - Difference from LEEP,Final Energy|Coal,0,Coal,scenario,leep_IRA,usa,model_wm,fives_proj,scen_wm_ira,grid,stack,year,value,scenario,model,TRUE,variable_rename,region,fixed
