figure_type,figure_no,title_name,variable,variable_rename,facet_variable,flip_sign,regions,models,years,scenarios,type,x,y,facet1,facet2,linetype,color,page_filter,scales
timeseriesplot,8,Secondary Energy,Secondary Energy|Hydrogen,Hydrogen,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Petroleum Refining,Refining,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Synthetic Gas,Synthetic Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,8,Secondary Energy,Secondary Energy|Synthetic Liquids,Synthetic Liquids,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy,Total Energy,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy|Supply,Supply,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy|Demand|Industry,Industry,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy|Demand|Transportation,Transportation,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,9,Energy CO2 Emissions Accounting,Emissions|CO2|Energy|Demand|Buildings,Buildings,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Biogas,Biogas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Biomass Liquids,Biomass Liquids,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Electricity,Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Heat,Heat,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Hydrogen,Hydrogen,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Petroleum Refining,Petroleum Refining,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Synthetic Gas,Synthetic Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,10,Energy Supply CO2 Emissions,Emissions|CO2|Energy|Supply|Synthetic Liquids,Synthetic Liquids,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Demand|Industry,Industry,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Demand|Transportation,Transportation,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Demand|Buildings,Buildings,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Biogas,Biogas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Biomass Liquids,Biomass Liquids,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy,Total,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Heat,Heat,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Hydrogen,Hydrogen,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Petroleum Refining,Petroleum Refining,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Synthetic Gas,Synthetic Fuels,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Synthetic Liquids,Synthetic Fuels,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,11,Energy CO2 Emissions Accounting - supply breakout,Emissions|CO2|Energy|Supply|Electricity,Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,12,Population,Population,Population,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,13,GDP,GDP|MER,GDP,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,14,Final Energy by Sector - Percent Electricity,Final Energy|Buildings|Percent Electricity,Buildings,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,14,Final Energy by Sector - Percent Electricity,Final Energy|Industry|Percent Electricity,Industry,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
