"","Model","Scenario","Region","Variable","Unit","year","value"
"1","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2005,670.2086383
"2","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2010,695.6386118
"3","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2015,797.8222888
"4","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2020,828.2855916
"5","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2025,858.7505183
"6","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2030,876.9139644
"7","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2035,888.7034874
"8","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2040,903.4388581
"9","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2045,944.183175
"10","GCAM 7.0","WM_080824","USA","Agricultural Demand","million t DM/yr",2050,984.6991724
"11","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2005,653.3188241
"12","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2010,659.5568377
"13","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2015,745.7681888
"14","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2020,774.4521016
"15","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2025,803.7785783
"16","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2030,820.4622944
"17","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2035,830.8531174
"18","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2040,844.3657081
"19","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2045,884.027745
"20","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops","million t DM/yr",2050,923.5298624
"21","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2005,38.20147
"22","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2010,110.52802
"23","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2015,183.5248
"24","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2020,186.6069
"25","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2025,179.0131
"26","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2030,154.3283
"27","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2035,121.8178
"28","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2040,93.0197
"29","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2045,114.5685
"30","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2050,132.6076
"31","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2005,202.529072
"32","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2010,184.2876591
"33","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2015,184.4686693
"34","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2020,196.5590608
"35","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2025,222.0804827
"36","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2030,250.0860125
"37","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2035,280.1641284
"38","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2040,310.2881024
"39","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2045,317.1360787
"40","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2050,327.8934497
"41","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Food","million t DM/yr",2005,278.900362
"42","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Food","million t DM/yr",2010,283.7466666
"43","GCAM 7.0","WM_080824","USA","Agricultural Demand|Crops|Food","million t DM/yr",2015,299.6669785
