figure_type,figure_no,title_name,type,variable,x,xlab,y,ylab,xtype,ytype,flip_sign,variable_rename,regions,models,years,scenarios,ref,ref_regions,ref_models,ref_years,ref_scenarios,ref_label_change,ref_label_content,text,text_direction,label,shape,color,scales,facet1,facet2,page_filter
scatterplot,126,Secondary Energy|Electricity,single,Secondary Energy|Electricity,model,Model,value,EJ/yr,model,value,0,Secondary Energy|Electricity,default_regions,models_benchmark,2020,sm_scenarios,TRUE,default_regions,benchmark,2020,NT.Ref,scenario,AEO2020,FALSE,both,model,scenario,scenario,fixed,,,
scatterplot,127,Secondary Energy|Hydrogen,single,Secondary Energy|Electricity|Biomass,model,Model,value,EJ/yr,model,value,0,Secondary Energy|Electricity|Biomass,default_regions,models_benchmark,2020,sm_scenarios,TRUE,default_regions,benchmark,2020,NT.Ref,scenario,AEO2020,FALSE,both,model,scenario,scenario,fixed,,,
scatterplot,128,Secondary Energy|Petroleum Refining,single,Secondary Energy|Electricity|Coal,model,Model,value,EJ/yr,model,value,0,Secondary Energy|Electricity|Coal,default_regions,models_benchmark,2020,sm_scenarios,TRUE,default_regions,benchmark,2020,NT.Ref,scenario,AEO2020,FALSE,both,model,scenario,scenario,fixed,,,
scatterplot,129,Secondary Energy|Biogas,single,Secondary Energy|Electricity|Gas,model,Model,value,EJ/yr,model,value,0,Secondary Energy|Electricity|Gas,default_regions,models_benchmark,2020,sm_scenarios,TRUE,default_regions,benchmark,2020,NT.Ref,scenario,AEO2020,FALSE,both,model,scenario,scenario,fixed,,,
scatterplot,130,Secondary Energy|Synthetic Gas,single,Secondary Energy|Electricity|Geothermal,model,Model,value,EJ/yr,model,value,0,Secondary Energy|Electricity|Geothermal,default_regions,models_benchmark,2020,sm_scenarios,TRUE,default_regions,benchmark,2020,NT.Ref,scenario,AEO2020,FALSE,both,model,scenario,scenario,fixed,,,
scatterplot,131,Secondary Energy|Synthetic Liquids,single,Secondary Energy|Electricity|Hydro,model,Model,value,EJ/yr,model,value,0,Secondary Energy|Electricity|Hydro,default_regions,models_benchmark,2020,sm_scenarios,TRUE,default_regions,benchmark,2020,NT.Ref,scenario,AEO2020,FALSE,both,model,scenario,scenario,fixed,,,
scatterplot,132,Secondary Energy|Biomass Liquids,single,Secondary Energy|Electricity|Oil,model,Model,value,EJ/yr,model,value,0,Secondary Energy|Electricity|Oil,default_regions,models_benchmark,2020,sm_scenarios,TRUE,default_regions,benchmark,2020,NT.Ref,scenario,AEO2020,FALSE,both,model,scenario,scenario,fixed,,,
