"","Model","Scenario","Region","Variable","Unit","year","value"
"1","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2005,670.2086383
"2","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2010,695.6386118
"3","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2015,797.8222888
"4","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2020,828.7049028
"5","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2025,859.1525884
"6","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2030,877.3037987
"7","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2035,889.0182702
"8","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2040,903.6956106
"9","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2045,944.4626014
"10","GCAM 7.0","WM_100924","USA","Agricultural Demand","million t DM/yr",2050,984.5999922
"11","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2005,653.3188241
"12","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2010,659.5568377
"13","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2015,745.7681888
"14","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2020,774.8714128
"15","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2025,804.1807084
"16","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2030,820.8521787
"17","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2035,831.1679102
"18","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2040,844.6225306
"19","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2045,884.3072814
"20","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops","million t DM/yr",2050,923.4308122
"21","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2005,38.20147
"22","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2010,110.52802
"23","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2015,183.5248
"24","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2020,187.1911
"25","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2025,179.613
"26","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2030,154.9412
"27","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2035,122.3093
"28","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2040,93.5579
"29","GCAM 7.0","WM_100924","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2045,115.1237
