model,scenario,year,unit,value,aggregate
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2030,Mt CO2-equiv/yr,3050.4434255569686,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2035,Mt CO2-equiv/yr,2062.0112839350063,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2040,Mt CO2-equiv/yr,1423.763457516319,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2045,Mt CO2-equiv/yr,729.3607484359011,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2050,Mt CO2-equiv/yr,-2.5794668526687587,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2025,Mt CO2-equiv/yr,4003.8135888021457,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2030,Mt CO2-equiv/yr,3095.3652450876816,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2035,Mt CO2-equiv/yr,2086.4632596262245,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2040,Mt CO2-equiv/yr,1442.7490474381682,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2045,Mt CO2-equiv/yr,739.4400601269074,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2050,Mt CO2-equiv/yr,4.778168166932801,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SElow,2025,Mt CO2-equiv/yr,3918.67232778977,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SElow,2030,Mt CO2-equiv/yr,2930.337766391947,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SElow,2035,Mt CO2-equiv/yr,2062.4761823559584,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SElow,2040,Mt CO2-equiv/yr,1419.0058305244133,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SElow,2045,Mt CO2-equiv/yr,725.5341395936047,Net GHG
GCAM 5.3,AM.MedRem.AllAdv.SElow,2050,Mt CO2-equiv/yr,-16.42729962389319,Net GHG
GCAM 5.3,AM.MedRem.RefBldg,2025,Mt CO2-equiv/yr,3995.169379496573,Net GHG
GCAM 5.3,AM.MedRem.RefBldg,2030,Mt CO2-equiv/yr,3083.5026069890223,Net GHG
GCAM 5.3,AM.MedRem.RefBldg,2035,Mt CO2-equiv/yr,2082.750180116223,Net GHG
GCAM 5.3,AM.MedRem.RefBldg,2040,Mt CO2-equiv/yr,1446.274661052085,Net GHG
GCAM 5.3,AM.MedRem.RefBldg,2045,Mt CO2-equiv/yr,737.5756095583274,Net GHG
GCAM 5.3,AM.MedRem.RefBldg,2050,Mt CO2-equiv/yr,15.608906514202943,Net GHG
GCAM 5.3,AM.MedRem.RefCH4,2025,Mt CO2-equiv/yr,4000.851613271204,Net GHG
GCAM 5.3,AM.MedRem.RefCH4,2030,Mt CO2-equiv/yr,3068.957171150698,Net GHG
GCAM 5.3,AM.MedRem.RefCH4,2035,Mt CO2-equiv/yr,2078.646459230041,Net GHG
GCAM 5.3,AM.MedRem.RefCH4,2040,Mt CO2-equiv/yr,1433.017799761391,Net GHG
GCAM 5.3,AM.MedRem.RefCH4,2045,Mt CO2-equiv/yr,734.1365382829395,Net GHG
GCAM 5.3,AM.MedRem.RefCH4,2050,Mt CO2-equiv/yr,-4.410860863565347,Net GHG
GCAM 5.3,AM.MedRem.RefInd,2025,Mt CO2-equiv/yr,3953.5998568099867,Net GHG
GCAM 5.3,AM.MedRem.RefInd,2030,Mt CO2-equiv/yr,2996.63478946783,Net GHG
GCAM 5.3,AM.MedRem.RefInd,2035,Mt CO2-equiv/yr,2072.332922732576,Net GHG
GCAM 5.3,AM.MedRem.RefInd,2040,Mt CO2-equiv/yr,1432.336735497367,Net GHG
GCAM 5.3,AM.MedRem.RefInd,2045,Mt CO2-equiv/yr,741.9254562969602,Net GHG
GCAM 5.3,AM.MedRem.RefInd,2050,Mt CO2-equiv/yr,1.9338363597527177,Net GHG
GCAM 5.3,AM.MedRem.RefPower,2025,Mt CO2-equiv/yr,4000.591132886558,Net GHG
GCAM 5.3,AM.MedRem.RefPower,2030,Mt CO2-equiv/yr,3097.783152970998,Net GHG
GCAM 5.3,AM.MedRem.RefPower,2035,Mt CO2-equiv/yr,2092.662602730827,Net GHG
GCAM 5.3,AM.MedRem.RefPower,2040,Mt CO2-equiv/yr,1442.0863692446735,Net GHG
GCAM 5.3,AM.MedRem.RefPower,2045,Mt CO2-equiv/yr,735.0962429063042,Net GHG
GCAM 5.3,AM.MedRem.RefPower,2050,Mt CO2-equiv/yr,-9.015244619839734,Net GHG
GCAM 5.3,AM.MedRem.RefTrans,2025,Mt CO2-equiv/yr,4001.0398256745607,Net GHG
GCAM 5.3,AM.MedRem.RefTrans,2030,Mt CO2-equiv/yr,3097.230371009543,Net GHG
GCAM 5.3,AM.MedRem.RefTrans,2035,Mt CO2-equiv/yr,2198.8869889749503,Net GHG
GCAM 5.3,AM.MedRem.RefTrans,2040,Mt CO2-equiv/yr,1477.398428241718,Net GHG
GCAM 5.3,AM.MedRem.RefTrans,2045,Mt CO2-equiv/yr,758.96609636619,Net GHG
GCAM 5.3,AM.MedRem.RefTrans,2050,Mt CO2-equiv/yr,30.83851973398299,Net GHG
