"Year","Emissions","scenario","category","gas","unit","region","gwp"
"2017",5813.4016664564,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2018",5735.546694169,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2019",5688.25347300607,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2020",5639.72633796034,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2021",5671.37094750462,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2022",5723.61570850917,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2023",5762.13776024662,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2024",5721.21296876396,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2025",5715.60122372459,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2026",5716.09612977093,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2027",5728.23108812557,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2028",5745.27788341702,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2029",5762.37986092114,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
"2030",5748.09582228822,"BR2016_WM_lowseq","NetTotal","Total","MMTCO2e","USA","AR5"
