"publication","region","unit","Year","gwp","gas","Emissions","scenario","category"
"2014 CAR","USA","MMTCO2e","1991","AR5","PFCs",17.77473822,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1992","AR5","PFCs",16.53987119,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1993","AR5","PFCs",16.50773854,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1994","AR5","PFCs",15.16717439,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1995","AR5","PFCs",15.58625702,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1996","AR5","PFCs",16.59862251,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1997","AR5","PFCs",15.22003375,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1998","AR5","PFCs",14.02526259,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1999","AR5","PFCs",13.95653352,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2000","AR5","PFCs",13.46766019,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2001","AR5","PFCs",6.972235959,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2002","AR5","PFCs",8.702423111,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2003","AR5","PFCs",7.070657741,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2004","AR5","PFCs",6.113794277,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2005","AR5","PFCs",6.181959704,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2006","AR5","PFCs",6.01659895,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2007","AR5","PFCs",7.655931667,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2008","AR5","PFCs",6.591559297,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2009","AR5","PFCs",4.442534114,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2010","AR5","PFCs",5.930052734,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2011","AR5","PFCs",7.000645391,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2012","AR5","PFCs",6.439939857,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2013","AR5","PFCs",6.193734499,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2014","AR5","PFCs",6.003030376,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2015","AR5","PFCs",5.775634702,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2016","AR5","PFCs",5.654384836,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2017","AR5","PFCs",5.746173837,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2018","AR5","PFCs",5.513204868,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2019","AR5","PFCs",5.243584655,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2020","AR5","PFCs",5.12357443,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2021","AR5","PFCs",4.996097179,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2022","AR5","PFCs",5.166966778,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2023","AR5","PFCs",5.346379856,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2024","AR5","PFCs",5.534763588,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2025","AR5","PFCs",5.732566507,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2026","AR5","PFCs",5.940259571,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2027","AR5","PFCs",6.158337289,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2028","AR5","PFCs",6.387318893,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2029","AR5","PFCs",6.627749577,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2030","AR5","PFCs",6.880201795,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1990","AR5","SF6",32.0883475175439,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1991","AR5","SF6",30.7298546010965,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1992","AR5","SF6",30.9203209570175,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1993","AR5","SF6",30.3857030997807,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1994","AR5","SF6",28.9104997627193,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1995","AR5","SF6",27.4915685877193,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1996","AR5","SF6",26.7477126467105,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1997","AR5","SF6",25.0233559399123,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1998","AR5","SF6",22.0734691620614,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","1999","AR5","SF6",22.4230568936403,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2000","AR5","SF6",18.5123871074561,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2001","AR5","SF6",17.7083848129386,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2002","AR5","SF6",16.721623008114,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2003","AR5","SF6",16.4024141697368,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2004","AR5","SF6",15.2390301166667,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2005","AR5","SF6",14.7357925309211,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2006","AR5","SF6",13.4555411638158,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2007","AR5","SF6",12.0816542425439,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2008","AR5","SF6",11.2044537254386,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2009","AR5","SF6",9.65161689947368,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2010","AR5","SF6",9.90156967942982,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2011","AR5","SF6",9.22255134539474,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2012","AR5","SF6",9.10430679324561,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2013","AR5","SF6",9.27142316059211,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2014","AR5","SF6",9.24958070114035,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2015","AR5","SF6",9.39519511888158,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2016","AR5","SF6",9.2262696679386,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2017","AR5","SF6",9.07337779493421,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2018","AR5","SF6",9.03918130817983,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2019","AR5","SF6",9.09986065405702,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2020","AR5","SF6",9.08759473217105,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2021","AR5","SF6",9.11631294118421,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2022","AR5","SF6",9.21246056907895,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2023","AR5","SF6",9.31053911054824,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2024","AR5","SF6",9.41064511142543,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2025","AR5","SF6",9.51287994432018,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2026","AR5","SF6",9.66166305774123,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2027","AR5","SF6",9.81279320995614,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2028","AR5","SF6",9.96638775048246,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2029","AR5","SF6",10.1225698986842,"WM","GrossTotal"
"2014 CAR","USA","MMTCO2e","2030","AR5","SF6",10.2814690364912,"WM","GrossTotal"
