model,scenario,variable,unit,2025,2030,2035
GCAM-PNNL,High Energy Price,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,994.1812607,919.1014426,867.3696583
GCAM-PNNL,High Growth,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1069.053883,1002.998696,983.6307463
GCAM-PNNL,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1056.764533,979.071266,949.0823984
GCAM-PNNL,Low Energy Price,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1068.65343,990.4531817,974.323118
GCAM-PNNL,Low Growth,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1045.304388,956.2947201,915.8501579
GCAM-PNNL,All Advanced,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1708.896826,1486.694065,1255.057203
GCAM-PNNL,High Energy Price,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1698.53217,1481.78383,1246.42889
GCAM-PNNL,High Growth,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1741.02137,1544.15657,1331.05283
GCAM-PNNL,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1714.238844,1504.764776,1283.052676
GCAM-PNNL,Low Energy Price,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1723.0875,1523.45263,1306.02284
GCAM-PNNL,Low Growth,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1686.49577,1462.97875,1231.03339
GCAM-PNNL,All Advanced,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1161.357632,837.8205901,792.4970279
GCAM-PNNL,High Energy Price,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1071.843,781.7242,719.7337
GCAM-PNNL,High Growth,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1163.749,837.5529,792.4751
GCAM-PNNL,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1160.581106,831.9987101,784.3681809
GCAM-PNNL,Low Energy Price,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1167.684,836.4162,792.2504
GCAM-PNNL,Low Growth,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1157.252,826.1101,775.6386
GCAM-PNNL,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
GCAM-PNNL,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
GCAM-PNNL,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
GCAM-PNNL,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
GCAM-PNNL,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|GHG|Energy,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|GHG|Net,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|GHG|Waste,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|N2O,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,,,
MARKAL-NETL,IRA,Emissions|CH4,Mt CO2/yr,,,
MARKAL-NETL,IRA,Emissions|CO2,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|GHG|Energy,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|GHG|Net,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|GHG|Waste,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|N2O,Mt CO2e/yr,,,
MARKAL-NETL,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1410.01,1232.67,749.4
MARKAL-NETL,IRA.Low,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1391.03,1372.5,815.57
MARKAL-NETL,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1323.266646,1140.932673,778.0950571
MARKAL-NETL,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1316.817465,1314.64621,1222.266662
MARKAL-NETL,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1602.975889,1493.401117,1356.218281
MARKAL-NETL,IRA.Low,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1310.807899,1237.04851,826.2699075
MARKAL-NETL,IRA.Low,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1313.76475,1346.840002,1233.165166
MARKAL-NETL,IRA.Low,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1601.307351,1505.721488,1363.324927
MARKAL-NETL,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
MARKAL-NETL,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
MARKAL-NETL,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
MARKAL-NETL,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
NEMS-OP,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,,,
NEMS-OP,IRA,Emissions|CH4,Mt CO2/yr,,,
NEMS-OP,IRA,Emissions|CO2,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|GHG|Energy,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|GHG|Net,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|GHG|Waste,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|N2O,Mt CO2e/yr,,,
NEMS-OP,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1170.501465,660.642334,417.400726
NEMS-OP,Opt-IRA.Adv,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1173.990967,429.341614,274.357727
NEMS-OP,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1401.790466,996.583252,809.16452
NEMS-OP,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1284.959351,1128.404297,1055.642578
NEMS-OP,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1797.472412,1641.628418,1471.571655
