usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Bunkers,Energy,Bunkers,Bunkers,USA,CO2,MMTCO2e,103.63,117.74,108,97.97,96.81,98.61,99.86,107.06,110.59,102.83,101.89,93.89,94.6,98.48,108.61,113.33,114.27,115.46,114.46,106.51,117.1,111.75,105.89,99.84,103.49,110.98,116.68,120.19,124.28,113.63,69.64,80.18,98.24,118.12,122.29,123.43,123.17,124.09,124.09,124.29,124.65,125.3,126.11,126.9,127.5,128.12,128.9,129.78,130.81,131.78,133.39,134.87,136.07,137.23,138.14,139.18,140.52,141.62,142.65,143.54,144.48
Bunkers,Energy,Bunkers,Bunkers,USA,N2O,MMTCO2e,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.19,1.19,0.89,0.6,0.6,0.89,0.8,0.78,0.76,0.75,0.73,0.72,0.7,0.68,0.67,0.65,0.63,0.62,0.6,0.59,0.57,0.55,0.54,0.52,0.5,0.49,0.47,0.46,0.44,0.42,0.41,0.39,0.37,0.36
CO2Cons,IPPU,CO2Cons,CO2Cons,USA,CO2,MMTCO2e,1.47,1.47,1.46,1.47,1.48,1.48,1.49,1.48,1.48,1.48,1.48,0.89,1.05,1.36,1.26,1.38,1.76,1.92,1.83,1.79,4.42,4.08,4.02,4.19,4.47,4.94,4.64,4.58,4.13,4.87,4.97,4.99,5,5.11,5.19,5.27,5.35,5.43,5.51,5.6,5.68,5.76,5.84,5.92,6,6.08,6.17,6.25,6.33,6.41,6.49,6.57,6.65,6.74,6.82,6.9,6.98,7.06,7.14,7.22,7.31
CaproGlyAcid,IPPU,CaproGlyAcid,CaproGlyAcid,USA,N2O,MMTCO2e,1.79,1.49,1.79,1.79,1.79,2.09,1.79,2.09,2.09,2.09,2.09,1.79,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.38,2.38,2.09,2.09,2.09,1.79,1.79,1.49,1.49,1.49,1.19,1.49,1.49,1.44,1.39,1.35,1.3,1.26,1.22,1.18,1.14,1.1,1.06,1.03,1,0.96,0.93,0.9,0.87,0.84,0.81,0.79,0.76,0.74,0.71,0.69,0.66,0.64,0.62,0.6,0.58
Carbide,IPPU,Carbide,Carbide,USA,CH4,MMTCO2e,0.03,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbide,IPPU,Carbide,Carbide,USA,CO2,MMTCO2e,0.24,0.16,0.18,0.16,0.19,0.2,0.22,0.24,0.26,0.19,0.2,0.17,0.18,0.2,0.22,0.21,0.2,0.19,0.17,0.14,0.18,0.17,0.15,0.16,0.17,0.18,0.17,0.18,0.18,0.18,0.15,0.17,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
CarbonateUse,IPPU,CarbonateUse,CarbonateUse,USA,CO2,MMTCO2e,7.1,6.47,6.39,6.04,6.35,8.25,8.85,8.58,8.74,9.52,6.68,6.89,7.21,5.8,7.66,8.47,9.53,8.75,7.44,9.31,11.25,10.35,9.47,11.43,13.14,12.69,11.36,10.44,7.94,8.97,9.01,8.58,10.38,8.67,8.4,8.12,7.85,7.58,7.3,7.03,6.76,6.48,6.21,5.94,5.66,5.39,5.12,4.84,4.57,4.3,4.03,3.75,3.48,3.21,2.93,2.66,2.39,2.11,1.84,1.57,1.29
Cement,IPPU,Cement,Cement,USA,CO2,MMTCO2e,33.5,32.7,33,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3,39,40.9,40.7,41.3,41.9,46.42,45.82,46.42,47.33,47.63,48.23,48.83,49.44,50.04,50.34,50.64,50.94,51.85,52.45,53.05,53.35,53.96,54.56,55.16,55.77,56.07,56.67,57.57,58.18,58.78,59.38,59.68,60.29
CoalMining,Energy,CoalMining,CoalMining,USA,CH4,MMTCO2e,96.5,93.38,90.7,77.28,77.6,76.4,75.95,75.42,75.73,71.2,68.25,68,63.8,63.98,65.28,63.8,65.17,64.78,75.65,79.85,82.15,71.15,65.15,64.62,64.58,61.2,53.85,54.8,52.75,47.3,41.2,39.88,38.95,38.14,42.46,41.15,39.83,37.42,32.74,27.89,24.35,21.31,20.57,20.25,20.03,19.45,18.29,17.75,17.7,17.5,17.16,18.41,18.39,18.17,17.33,16.75,15.99,16.57,16.62,16.61,16.67
CoalMining,Energy,CoalMining,CoalMining,USA,CO2,MMTCO2e,4.6,4.4,4.4,3.9,4.4,4.4,4.5,4.6,4.6,4.4,4.2,4.3,4,4,4.1,4.2,4.1,4,4.1,3.8,3.9,3.9,3.9,3.8,4,3.5,2.9,3.2,3.1,3,2.2,2.5,2.5,2.39,2.29,2.19,2.09,2,1.91,1.83,1.75,1.68,1.6,1.53,1.47,1.4,1.34,1.28,1.23,1.17,1.12,1.07,1.03,0.98,0.94,0.9,0.86,0.82,0.79,0.75,0.72
Compost,Waste,Compost,Compost,USA,CH4,MMTCO2e,0.38,0.43,0.5,0.62,0.78,0.88,1,1.1,1.2,1.33,1.5,1.5,1.53,1.73,1.85,1.88,1.88,1.98,2,1.88,1.83,1.88,1.93,2.02,2.1,2.12,2.28,2.45,2.25,2.28,2.3,2.3,2.3,2.42,2.46,2.49,2.53,2.56,2.6,2.63,2.67,2.7,2.74,2.77,2.81,2.84,2.88,2.91,2.95,2.98,3.02,3.05,3.09,3.12,3.16,3.19,3.23,3.26,3.3,3.33,3.37
Compost,Waste,Compost,Compost,USA,N2O,MMTCO2e,0.3,0.3,0.3,0.6,0.6,0.89,0.89,0.89,1.19,1.19,1.19,1.49,1.49,1.49,1.79,1.79,1.79,1.79,1.79,1.79,1.49,1.79,1.79,1.79,1.79,1.79,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.21,2.24,2.28,2.32,2.36,2.39,2.43,2.47,2.51,2.55,2.58,2.62,2.66,2.7,2.74,2.77,2.81,2.85,2.89,2.93,2.96,3,3.04,3.08,3.12,3.15,3.19,3.23
CroplandConvertCarbonStock,LULUCF,Cropland,CroplandConvertCarbonStock,USA,CO2,MMTCO2e,45.4,46.6,43.2,40.7,40.7,42.7,40.4,40.7,38.5,40.9,37.4,36,35.7,35.8,34.6,34.5,32.4,33.6,30.3,30.9,32.3,29.6,32,33.5,32,33.3,34.1,33.2,31.9,31.4,29.3,34.9,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CroplandRemainCarbonStock,LULUCF,Cropland,CroplandRemainCarbonStock,USA,CO2,MMTCO2e,-5,-18.6,-26.7,-13.6,-21.5,-18.2,-38.2,-35,-30.4,-32.2,-38,-35.8,-38.1,-29,-33.7,-31.6,-28.3,-27,-33.8,-15.6,-19.9,-38.5,-27.1,-16,-22.4,-24,-22.5,-18.8,-17.8,-19.4,-8.8,-32,-31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPS,IPPU,EPS,EPS,USA,PFCs,MMTCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPS,IPPU,EPS,EPS,USA,SF6,MMTCO2e,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14,13.7,13,12.5,12.2,11.8,11,10.2,10.2,9,7.8,7.1,6.1,5.9,6,5.3,5.4,5.3,5,6.1,5.9,6,5.1,5.01,4.92,4.83,4.75,4.66,4.58,4.5,4.42,4.34,4.26,4.19,4.11,4.04,3.97,3.9,3.83,3.76,3.69,3.63,3.56,3.5,3.44,3.38,3.32,3.26,3.2,3.14,3.09
Electronics,IPPU,Electronics,Electronics,USA,HFCs,MMTCO2e,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.39,0.4,0.41,0.41,0.42,0.43,0.43,0.44,0.45,0.46,0.46,0.47,0.48,0.49,0.49,0.5,0.51,0.52,0.53,0.53
Electronics,IPPU,Electronics,Electronics,USA,N2O,MMTCO2e,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.32,0.33,0.35,0.36,0.38,0.4,0.41,0.43,0.44,0.46,0.47,0.49,0.51,0.52,0.54,0.55,0.57,0.59,0.6,0.62,0.63,0.65,0.67,0.68,0.7,0.71,0.73,0.75
Electronics,IPPU,Electronics,Electronics,USA,NF3,MMTCO2e,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.61,0.62,0.64,0.65,0.67,0.68,0.7,0.72,0.73,0.75,0.77,0.79,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1,1.02,1.04,1.06,1.09,1.11
