proj_name,grouping,model,scenario,usproj_sector,gas,year,value,unit,usproj_category,usproj_source,usproj_subsource,region,datasrc,btr_var
nems_wm_lowseq,wm,OP-NEMS,wm,Transportation,CO2,2026,1734.8233089999999,Mt CO2/yr,FFCTrans,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Transportation
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2026,1190.950439,Mt CO2/yr,FFCElec,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Electricity
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2026,217.70593296338959,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Petroleum Refining
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2027,249.29241900000005,Mt CO2/yr,FFCCom,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Commercial
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2027,316.2211,Mt CO2/yr,FFCRes,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Residential
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2027,742.1845102073655,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Industry
nems_wm_lowseq,wm,OP-NEMS,wm,Transportation,CO2,2027,1707.49086,Mt CO2/yr,FFCTrans,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Transportation
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2027,1041.843506,Mt CO2/yr,FFCElec,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Electricity
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2027,210.19863879263445,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Petroleum Refining
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2028,250.15918000000005,Mt CO2/yr,FFCCom,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Commercial
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2028,315.535248,Mt CO2/yr,FFCRes,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Residential
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2028,752.0334568406225,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Industry
nems_wm_lowseq,wm,OP-NEMS,wm,Transportation,CO2,2028,1676.139471,Mt CO2/yr,FFCTrans,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Transportation
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2028,912.304016,Mt CO2/yr,FFCElec,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Electricity
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2028,208.73279415937745,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Petroleum Refining
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2029,250.281449,Mt CO2/yr,FFCCom,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Commercial
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2029,314.03302,Mt CO2/yr,FFCRes,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Residential
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2029,756.979044309872,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Industry
nems_wm_lowseq,wm,OP-NEMS,wm,Transportation,CO2,2029,1638.01688,Mt CO2/yr,FFCTrans,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Transportation
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2029,789.441589,Mt CO2/yr,FFCElec,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Electricity
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2029,208.32400969012807,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Supply|Petroleum Refining
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2030,250.02085899999997,Mt CO2/yr,FFCCom,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Commercial
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2030,311.317489,Mt CO2/yr,FFCRes,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Buildings|Residential
nems_wm_lowseq,wm,OP-NEMS,wm,Energy,CO2,2030,761.3701676170385,Mt CO2/yr,FFCInd,FFC,FFC,United States,OP-NEMS BTR Scenario with Measures Data 6-14-2024.xlsx,Emissions|CO2|Energy|Demand|Industry
